"","year","month","GISTEMP"
"229",1989,1,0.16
"230",1989,2,0.35
"231",1989,3,0.36
"232",1989,4,0.33
"233",1989,5,0.17
"234",1989,6,0.15
"235",1989,7,0.34
"236",1989,8,0.36
"237",1989,9,0.37
"238",1989,10,0.32
"239",1989,11,0.21
"240",1989,12,0.37
"241",1990,1,0.41
"242",1990,2,0.41
"243",1990,3,0.76
"244",1990,4,0.55
"245",1990,5,0.46
"246",1990,6,0.38
"247",1990,7,0.44
"248",1990,8,0.3
"249",1990,9,0.3
"250",1990,10,0.43
"251",1990,11,0.46
"252",1990,12,0.42
"253",1991,1,0.42
"254",1991,2,0.51
"255",1991,3,0.36
"256",1991,4,0.53
"257",1991,5,0.39
"258",1991,6,0.54
"259",1991,7,0.51
"260",1991,8,0.42
"261",1991,9,0.5
"262",1991,10,0.32
"263",1991,11,0.31
"264",1991,12,0.33
"265",1992,1,0.45
"266",1992,2,0.42
"267",1992,3,0.47
"268",1992,4,0.24
"269",1992,5,0.32
"270",1992,6,0.24
"271",1992,7,0.13
"272",1992,8,0.1
"273",1992,9,0.01
"274",1992,10,0.11
"275",1992,11,0.04
"276",1992,12,0.22
"277",1993,1,0.37
"278",1993,2,0.39
"279",1993,3,0.36
"280",1993,4,0.28
"281",1993,5,0.26
"282",1993,6,0.24
"283",1993,7,0.28
"284",1993,8,0.13
"285",1993,9,0.11
"286",1993,10,0.24
"287",1993,11,0.07
"288",1993,12,0.19
"289",1994,1,0.3
"290",1994,2,0.04
"291",1994,3,0.26
"292",1994,4,0.41
"293",1994,5,0.29
"294",1994,6,0.42
"295",1994,7,0.32
"296",1994,8,0.23
"297",1994,9,0.32
"298",1994,10,0.42
"299",1994,11,0.46
"300",1994,12,0.36
"301",1995,1,0.5
"302",1995,2,0.77
"303",1995,3,0.45
"304",1995,4,0.47
"305",1995,5,0.29
"306",1995,6,0.45
"307",1995,7,0.49
"308",1995,8,0.48
"309",1995,9,0.34
"310",1995,10,0.49
"311",1995,11,0.45
"312",1995,12,0.3
"313",1996,1,0.27
"314",1996,2,0.5
"315",1996,3,0.34
"316",1996,4,0.38
"317",1996,5,0.3
"318",1996,6,0.27
"319",1996,7,0.37
"320",1996,8,0.49
"321",1996,9,0.27
"322",1996,10,0.2
"323",1996,11,0.42
"324",1996,12,0.41
"325",1997,1,0.33
"326",1997,2,0.37
"327",1997,3,0.52
"328",1997,4,0.38
"329",1997,5,0.39
"330",1997,6,0.55
"331",1997,7,0.35
"332",1997,8,0.43
"333",1997,9,0.56
"334",1997,10,0.64
"335",1997,11,0.66
"336",1997,12,0.6
"337",1998,1,0.61
"338",1998,2,0.9
"339",1998,3,0.63
"340",1998,4,0.64
"341",1998,5,0.71
"342",1998,6,0.78
"343",1998,7,0.71
"344",1998,8,0.68
"345",1998,9,0.45
"346",1998,10,0.47
"347",1998,11,0.5
"348",1998,12,0.56
"349",1999,1,0.48
"350",1999,2,0.66
"351",1999,3,0.34
"352",1999,4,0.34
"353",1999,5,0.33
"354",1999,6,0.37
"355",1999,7,0.41
"356",1999,8,0.34
"357",1999,9,0.43
"358",1999,10,0.43
"359",1999,11,0.42
"360",1999,12,0.46
"361",2000,1,0.26
"362",2000,2,0.58
"363",2000,3,0.6
"364",2000,4,0.59
"365",2000,5,0.4
"366",2000,6,0.44
"367",2000,7,0.42
"368",2000,8,0.43
"369",2000,9,0.42
"370",2000,10,0.3
"371",2000,11,0.34
"372",2000,12,0.3
"373",2001,1,0.44
"374",2001,2,0.46
"375",2001,3,0.58
"376",2001,4,0.52
"377",2001,5,0.59
"378",2001,6,0.55
"379",2001,7,0.61
"380",2001,8,0.49
"381",2001,9,0.56
"382",2001,10,0.52
"383",2001,11,0.7
"384",2001,12,0.55
"385",2002,1,0.75
"386",2002,2,0.76
"387",2002,3,0.91
"388",2002,4,0.58
"389",2002,5,0.65
"390",2002,6,0.54
"391",2002,7,0.62
"392",2002,8,0.55
"393",2002,9,0.65
"394",2002,10,0.57
"395",2002,11,0.59
"396",2002,12,0.43
"397",2003,1,0.73
"398",2003,2,0.55
"399",2003,3,0.57
"400",2003,4,0.55
"401",2003,5,0.62
"402",2003,6,0.49
"403",2003,7,0.55
"404",2003,8,0.66
"405",2003,9,0.66
"406",2003,10,0.75
"407",2003,11,0.55
"408",2003,12,0.75
"409",2004,1,0.59
"410",2004,2,0.71
"411",2004,3,0.64
"412",2004,4,0.62
"413",2004,5,0.42
"414",2004,6,0.43
"415",2004,7,0.26
"416",2004,8,0.45
"417",2004,9,0.53
"418",2004,10,0.66
"419",2004,11,0.72
"420",2004,12,0.52
"421",2005,1,0.72
"422",2005,2,0.58
"423",2005,3,0.69
"424",2005,4,0.69
"425",2005,5,0.65
"426",2005,6,0.67
"427",2005,7,0.66
"428",2005,8,0.63
"429",2005,9,0.78
"430",2005,10,0.8
