"","year","month","AMO"
"235",2000,"5",0.095
"236",2001,"5",-0.019
"237",2002,"5",-0.059
"238",2003,"5",0.141
"239",2004,"5",-0.005
"240",2005,"5",0.283
"241",2006,"5",0.298
"242",2007,"5",0.101
"243",2008,"5",0.162
"244",2009,"5",-0.072
"245",2010,"5",0.449
"246",2011,"5",0.141
"247",2012,"5",0.153
"248",2013,"5",0.09
"249",2014,"5",-0.013
"250",2015,"5",0.033
"251",2016,"5",0.332
"252",2017,"5",0.302
"253",2018,"5",-0.013
"254",2019,"5",0.076
"255",2020,"5",0.254
"256",1970,"6",-0.189
"257",1971,"6",-0.37
"258",1972,"6",-0.495
"259",1973,"6",-0.182
"260",1974,"6",-0.454
"261",1975,"6",-0.302
"262",1976,"6",-0.49
"263",1977,"6",-0.114
"264",1978,"6",-0.339
"265",1979,"6",-0.048
"266",1980,"6",0.103
"267",1981,"6",-0.063
"268",1982,"6",-0.185
"269",1983,"6",-0.055
"270",1984,"6",-0.325
"271",1985,"6",-0.129
"272",1986,"6",-0.263
"273",1987,"6",0.201
"274",1988,"6",0.162
"275",1989,"6",0.085
"276",1990,"6",-0.062
"277",1991,"6",-0.136
"278",1992,"6",-0.158
"279",1993,"6",-0.189
"280",1994,"6",-0.23
"281",1995,"6",0.355
"282",1996,"6",-0.133
"283",1997,"6",-0.001
"284",1998,"6",0.479
"285",1999,"6",0.17
"286",2000,"6",-0.028
"287",2001,"6",0.188
"288",2002,"6",-0.127
"289",2003,"6",0.195
"290",2004,"6",0.167
"291",2005,"6",0.316
"292",2006,"6",0.323
"293",2007,"6",0.078
"294",2008,"6",0.245
"295",2009,"6",0.111
"296",2010,"6",0.437
"297",2011,"6",0.167
"298",2012,"6",0.289
"299",2013,"6",0.035
"300",2014,"6",0.051
"301",2015,"6",0.017
"302",2016,"6",0.397
"303",2017,"6",0.296
"304",2018,"6",-0.023
"305",2019,"6",0.161
"306",2020,"6",0.26
"307",1970,"7",-0.207
"308",1971,"7",-0.357
"309",1972,"7",-0.382
"310",1973,"7",-0.11
"311",1974,"7",-0.521
"312",1975,"7",-0.278
"313",1976,"7",-0.314
"314",1977,"7",-0.112
"315",1978,"7",-0.283
"316",1979,"7",-0.1
"317",1980,"7",0.045
"318",1981,"7",-0.095
"319",1982,"7",-0.229
"320",1983,"7",-0.016
"321",1984,"7",-0.267
"322",1985,"7",-0.154
"323",1986,"7",-0.25
"324",1987,"7",0.278
"325",1988,"7",0.105
"326",1989,"7",0.172
"327",1990,"7",-0.028
"328",1991,"7",-0.114
"329",1992,"7",-0.227
"330",1993,"7",-0.285
"331",1994,"7",-0.24
"332",1995,"7",0.305
"333",1996,"7",-0.114
"334",1997,"7",0.051
"335",1998,"7",0.478
"336",1999,"7",0.188
"337",2000,"7",0.062
"338",2001,"7",0.125
"339",2002,"7",-0.076
"340",2003,"7",0.266
"341",2004,"7",0.217
"342",2005,"7",0.436
"343",2006,"7",0.364
"344",2007,"7",0.118
"345",2008,"7",0.195
"346",2009,"7",0.217
"347",2010,"7",0.439
"348",2011,"7",0.08
"349",2012,"7",0.364
"350",2013,"7",0.179
"351",2014,"7",0.21
"352",2015,"7",0.12
"353",2016,"7",0.42
"354",2017,"7",0.29
"355",2018,"7",0.005
"356",2019,"7",0.34
"357",2020,"7",0.352
"358",1970,"8",-0.148
"359",1971,"8",-0.442
"360",1972,"8",-0.39
"361",1973,"8",-0.14
"362",1974,"8",-0.474
"363",1975,"8",-0.192
"364",1976,"8",-0.192
"365",1977,"8",-0.151
"366",1978,"8",-0.233
"367",1979,"8",-0.121
"368",1980,"8",0.018
"369",1981,"8",-0.116
"370",1982,"8",-0.31
"371",1983,"8",-0.159
"372",1984,"8",-0.227
"373",1985,"8",-0.283
"374",1986,"8",-0.274
"375",1987,"8",0.278
"376",1988,"8",-0.013
"377",1989,"8",0.107
"378",1990,"8",0.047
"379",1991,"8",-0.115
"380",1992,"8",-0.388
"381",1993,"8",-0.237
"382",1994,"8",-0.244
"383",1995,"8",0.174
"384",1996,"8",-0.018
"385",1997,"8",0.005
"386",1998,"8",0.502
"387",1999,"8",0.297
"388",2000,"8",0.093
"389",2001,"8",0.167
"390",2002,"8",0.096
"391",2003,"8",0.405
"392",2004,"8",0.306
"393",2005,"8",0.429
"394",2006,"8",0.39
"395",2007,"8",0.044
"396",2008,"8",0.164
"397",2009,"8",0.142
"398",2010,"8",0.514
"399",2011,"8",0.136
"400",2012,"8",0.42
"401",2013,"8",0.183
"402",2014,"8",0.323
"403",2015,"8",0.166
"404",2016,"8",0.445
"405",2017,"8",0.298
"406",2018,"8",0.1
"407",2019,"8",0.326
"408",2020,"8",0.436
"409",1970,"9",-0.145
"410",1971,"9",-0.373
"411",1972,"9",-0.31
"412",1973,"9",-0.138
"413",1974,"9",-0.512
"414",1975,"9",-0.342
"415",1976,"9",-0.2
"416",1977,"9",-0.238
"417",1978,"9",-0.196
"418",1979,"9",-0.115
"419",1980,"9",-0.013
"420",1981,"9",-0.037
"421",1982,"9",-0.308
"422",1983,"9",-0.216
"423",1984,"9",-0.21
"424",1985,"9",-0.249
"425",1986,"9",-0.221
"426",1987,"9",0.192
"427",1988,"9",-0.1
"428",1989,"9",-0.1
"429",1990,"9",0.141
"430",1991,"9",-0.044
"431",1992,"9",-0.377
"432",1993,"9",-0.173
"433",1994,"9",-0.161
"434",1995,"9",0.044
"435",1996,"9",-0.011
"436",1997,"9",0.099
"437",1998,"9",0.402
"438",1999,"9",0.175
"439",2000,"9",0.091
"440",2001,"9",0.276
"441",2002,"9",0.069
"442",2003,"9",0.441
"443",2004,"9",0.23
"444",2005,"9",0.408
"445",2006,"9",0.353
"446",2007,"9",0.087
"447",2008,"9",0.188
"448",2009,"9",0.046
"449",2010,"9",0.438
"450",2011,"9",0.133
"451",2012,"9",0.437
"452",2013,"9",0.243
"453",2014,"9",0.298
"454",2015,"9",0.288
"455",2016,"9",0.446
"456",2017,"9",0.338
"457",2018,"9",0.15
"458",2019,"9",0.233
"459",2020,"9",0.307
"460",1970,"10",-0.203
"461",1971,"10",-0.242
"462",1972,"10",-0.293
"463",1973,"10",-0.222
"464",1974,"10",-0.514
"465",1975,"10",-0.36
"466",1976,"10",-0.3
"467",1977,"10",-0.23
"468",1978,"10",-0.214
"469",1979,"10",-0.094
"470",1980,"10",-0.067
"471",1981,"10",-0.188
"472",1982,"10",-0.372
"473",1983,"10",-0.196
"474",1984,"10",-0.345
"475",1985,"10",-0.246
"476",1986,"10",-0.32
"477",1987,"10",0.045
"478",1988,"10",-0.176
"479",1989,"10",-0.129
"480",1990,"10",0.107
"481",1991,"10",-0.269
"482",1992,"10",-0.308
"483",1993,"10",-0.251
"484",1994,"10",-0.068
"485",1995,"10",0.092
"486",1996,"10",-0.154
"487",1997,"10",0.14
"488",1998,"10",0.372
"489",1999,"10",0.007
"490",2000,"10",-0.05
"491",2001,"10",0.241
"492",2002,"10",0.101
"493",2003,"10",0.416
"494",2004,"10",0.232
"495",2005,"10",0.227
"496",2006,"10",0.324
"497",2007,"10",0.147
"498",2008,"10",0.092
"499",2009,"10",0.153
"500",2010,"10",0.313
"501",2011,"10",0.052
"502",2012,"10",0.318
"503",2013,"10",0.335
"504",2014,"10",0.28
"505",2015,"10",0.313
"506",2016,"10",0.368
"507",2017,"10",0.421
"508",2018,"10",0.131
"509",2019,"10",0.146
"510",2020,"10",0.3
"511",1970,"11",-0.247
"512",1971,"11",-0.25
"513",1972,"11",-0.284
"514",1973,"11",-0.216
"515",1974,"11",-0.432
"516",1975,"11",-0.348
"517",1976,"11",-0.422
"518",1977,"11",-0.149
"519",1978,"11",-0.126
"520",1979,"11",-0.091
"521",1980,"11",-0.202
"522",1981,"11",-0.138
"523",1982,"11",-0.418
"524",1983,"11",-0.159
"525",1984,"11",-0.425
"526",1985,"11",-0.296
"527",1986,"11",-0.399
"528",1987,"11",-0.072
"529",1988,"11",-0.152
"530",1989,"11",-0.155
"531",1990,"11",-0.059
"532",1991,"11",-0.268
"533",1992,"11",-0.342
"534",1993,"11",-0.327
"535",1994,"11",-0.028
"536",1995,"11",0.117
"537",1996,"11",-0.183
"538",1997,"11",0.041
"539",1998,"11",0.307
"540",1999,"11",-0.059
"541",2000,"11",-0.063
"542",2001,"11",0.146
"543",2002,"11",0.009
"544",2003,"11",0.213
"545",2004,"11",0.21
"546",2005,"11",0.129
"547",2006,"11",0.278
"548",2007,"11",0.166
"549",2008,"11",-0.01
"550",2009,"11",0.058
"551",2010,"11",0.225
"552",2011,"11",-0.082
"553",2012,"11",0.154
"554",2013,"11",0.117
"555",2014,"11",0.053
"556",2015,"11",0.175
"557",2016,"11",0.378
"558",2017,"11",0.34
"559",2018,"11",-0.133
"560",2019,"11",0.098
"561",2020,"11",0.123
"562",1970,"12",-0.217
"563",1971,"12",-0.315
"564",1972,"12",-0.358
"565",1973,"12",-0.245
"566",1974,"12",-0.367
"567",1975,"12",-0.328
"568",1976,"12",-0.438
"569",1977,"12",-0.211
"570",1978,"12",-0.189
"571",1979,"12",-0.065
"572",1980,"12",-0.255
"573",1981,"12",-0.007
"574",1982,"12",-0.381
"575",1983,"12",-0.004
"576",1984,"12",-0.319
"577",1985,"12",-0.338
"578",1986,"12",-0.373
"579",1987,"12",0.041
"580",1988,"12",-0.169
"581",1989,"12",-0.159
"582",1990,"12",-0.042
"583",1991,"12",-0.221
"584",1992,"12",-0.292
"585",1993,"12",-0.302
"586",1994,"12",-0.1
"587",1995,"12",0.032
"588",1996,"12",-0.165
"589",1997,"12",0.121
"590",1998,"12",0.269
"591",1999,"12",0.004
"592",2000,"12",-0.137
"593",2001,"12",0.203
"594",2002,"12",-0.006
"595",2003,"12",0.214
"596",2004,"12",0.177
"597",2005,"12",0.206
"598",2006,"12",0.161
"599",2007,"12",0.1
"600",2008,"12",0.008
"601",2009,"12",0.072
"602",2010,"12",0.197
"603",2011,"12",-0.056
"604",2012,"12",0.13
"605",2013,"12",0.025
"606",2014,"12",0.047
"607",2015,"12",0.217
"608",2016,"12",0.323
"609",2017,"12",0.352
"610",2018,"12",-0.072
"611",2019,"12",0.152
"612",2020,"12",0.173
